Tag,departure_start,departure_stop,return_start,return_stop,comment,use in analysis,sex,cave_group
PH_TS_080_2022-03-17,2022-03-17 01:34:00,2022-03-17 02:12:00,2022-03-17 05:45:00,2022-03-17 06:15:00,incomplete,yes,m,ajcave
PH_TS_080_2022-03-18,2022-03-18 00:51:00,2022-03-18 01:29:00,2022-03-18 05:10:00,2022-03-18 05:42:00,both,yes,m,ajcave
PH_TS_080_2022-03-19,2022-03-19 00:34:00,2022-03-19 01:15:00,2022-03-19 04:46:00,2022-03-19 05:17:00,both,yes,m,ajcave
PH_TS_080_2022-03-20,2022-03-20 00:29:00,2022-03-20 01:22:00,2022-03-20 03:21:00,2022-03-20 03:57:00,both,yes,m,ajcave
PH_TS_080_2022-03-21,2022-03-21 00:28:00,2022-03-21 01:14:00,2022-03-21 03:59:00,2022-03-21 04:31:00,both,yes,m,ajcave
PH_TS_117_2022-03-08,,,,,,,,
PH_TS_117_2022-03-10,,,,,,,,
PH_TS_117_2022-03-12,,,,,,,,
PH_TS_112_2022-03-07,2022-03-07 02:35:00,2022-03-07 03:21:00,2022-03-07 07:40:00,2022-03-07 08:22:00,return,yes,m,ajcave
PH_TS_112_2022-03-08,2022-03-08 02:24:00,2022-03-08 03:02:00,2022-03-08 07:47:00,2022-03-08 08:28:00,return,yes,m,ajcave
PH_TS_112_2022-03-09,2022-03-09 02:40:00,2022-03-09 03:26:00,2022-03-09 07:25:00,2022-03-09 08:19:00,return,yes,m,ajcave
PH_TS_112_2022-03-10,2022-03-10 02:30:00,2022-03-10 03:23:00,2022-03-10 08:11:00,2022-03-10 08:48:00,return,yes,m,ajcave
PH_TS_112_2022-03-11,2022-03-11 03:42:00,2022-03-11 04:28:00,2022-03-11 08:22:00,2022-03-11 09:04:00,return,yes,m,ajcave
PH_TS_112_2022-03-12,2022-03-12 03:35:00,2022-03-12 04:30:00,2022-03-12 08:42:00,2022-03-12 09:22:00,incomplete,yes,m,ajcave
PH_TS_113_2022-03-08,2022-03-08 01:23:00,2022-03-08 02:15:00,2022-03-08 06:12:00,2022-03-08 06:42:00,return,yes,m,ajcave
PH_TS_113_2022-03-09,2022-03-09 04:05:00,2022-03-09 04:50:00,2022-03-09 07:08:00,2022-03-09 07:41:00,both,yes,m,ajcave
PH_TS_113_2022-03-10,2022-03-10 03:51:00,2022-03-10 04:47:00,2022-03-10 07:33:00,2022-03-10 08:04:00,return,no,m,ajcave
PH_TS_113_2022-03-12,2022-03-12 04:54:00,2022-03-12 05:38:00,2022-03-12 08:30:00,2022-03-12 09:06:00,return,yes,m,ajcave
